Model,Contrast type,Group,Contrast,Estimate,SE,DF,t-ratio,p-value
Temperature,region,Suisun Marsh,D - N,-0.09981ZZZ,0.1379ZZZ,900,-0.7240ZZZ,0.7493ZZZ
Temperature,region,Suisun Marsh,D - W,0.2605ZZZ,0.1465ZZZ,900,1.778ZZZ,0.1776ZZZ
Temperature,region,Suisun Marsh,N - W,0.3603ZZZ,0.1583ZZZ,900,2.277ZZZ,0.05962ZZZ
Temperature,region,Suisun Bay,D - N,0.2205ZZZ,0.1372ZZZ,900,1.608ZZZ,0.2429ZZZ
Temperature,region,Suisun Bay,D - W,0.4481ZZZ,0.1439ZZZ,900,3.114ZZZ,0.005395ZZZ
Temperature,region,Suisun Bay,N - W,0.2275ZZZ,0.1564ZZZ,900,1.455ZZZ,0.3134ZZZ
Temperature,region,Confluence,D - N,0.2060ZZZ,0.1372ZZZ,900,1.501ZZZ,0.2907ZZZ
Temperature,region,Confluence,D - W,0.5403ZZZ,0.1439ZZZ,900,3.756ZZZ,< 0.001ZZZ
Temperature,region,Confluence,N - W,0.3343ZZZ,0.1564ZZZ,900,2.138ZZZ,0.08292ZZZ
Temperature,region,South-Central,D - N,0.6159ZZZ,0.1372ZZZ,900,4.490ZZZ,< 0.001ZZZ
Temperature,region,South-Central,D - W,0.9019ZZZ,0.1439ZZZ,900,6.269ZZZ,< 0.001ZZZ
Temperature,region,South-Central,N - W,0.2860ZZZ,0.1564ZZZ,900,1.829ZZZ,0.1608ZZZ
Temperature,region,North,D - N,0.7882ZZZ,0.1372ZZZ,900,5.746ZZZ,< 0.001ZZZ
Temperature,region,North,D - W,1.421ZZZ,0.1439ZZZ,900,9.876ZZZ,< 0.001ZZZ
Temperature,region,North,N - W,0.6326ZZZ,0.1564ZZZ,900,4.045ZZZ,< 0.001ZZZ
Temperature,season,Winter,D - N,-0.1974ZZZ,0.1227ZZZ,900,-1.609ZZZ,0.2424ZZZ
Temperature,season,Winter,D - W,-0.1055ZZZ,0.1294ZZZ,900,-0.8155ZZZ,0.6935ZZZ
Temperature,season,Winter,N - W,0.09187ZZZ,0.1405ZZZ,900,0.6537ZZZ,0.7903ZZZ
Temperature,season,Spring,D - N,0.5911ZZZ,0.1232ZZZ,900,4.798ZZZ,< 0.001ZZZ
Temperature,season,Spring,D - W,1.475ZZZ,0.1298ZZZ,900,11.36ZZZ,< 0.001ZZZ
Temperature,season,Spring,N - W,0.8836ZZZ,0.1405ZZZ,900,6.287ZZZ,< 0.001ZZZ
Temperature,season,Summer,D - N,0.1863ZZZ,0.1227ZZZ,900,1.518ZZZ,0.2829ZZZ
Temperature,season,Summer,D - W,0.5365ZZZ,0.1287ZZZ,900,4.169ZZZ,< 0.001ZZZ
Temperature,season,Summer,N - W,0.3502ZZZ,0.1399ZZZ,900,2.504ZZZ,0.03334ZZZ
Temperature,season,Fall,D - N,0.8047ZZZ,0.1227ZZZ,900,6.559ZZZ,< 0.001ZZZ
Temperature,season,Fall,D - W,0.9516ZZZ,0.1287ZZZ,900,7.395ZZZ,< 0.001ZZZ
Temperature,season,Fall,N - W,0.1469ZZZ,0.1399ZZZ,900,1.050ZZZ,0.5453ZZZ
Salinity,region,Suisun Marsh,D - N,0.5693ZZZ,0.08777ZZZ,900,6.487ZZZ,< 0.001ZZZ
Salinity,region,Suisun Marsh,D - W,1.342ZZZ,0.09327ZZZ,900,14.39ZZZ,< 0.001ZZZ
Salinity,region,Suisun Marsh,N - W,0.7730ZZZ,0.1007ZZZ,900,7.672ZZZ,< 0.001ZZZ
Salinity,region,Suisun Bay,D - N,0.7397ZZZ,0.08733ZZZ,900,8.470ZZZ,< 0.001ZZZ
Salinity,region,Suisun Bay,D - W,1.401ZZZ,0.09159ZZZ,900,15.30ZZZ,< 0.001ZZZ
Salinity,region,Suisun Bay,N - W,0.6617ZZZ,0.09957ZZZ,900,6.646ZZZ,< 0.001ZZZ
Salinity,region,Confluence,D - N,0.9571ZZZ,0.08733ZZZ,900,10.96ZZZ,< 0.001ZZZ
Salinity,region,Confluence,D - W,1.626ZZZ,0.09159ZZZ,900,17.75ZZZ,< 0.001ZZZ
Salinity,region,Confluence,N - W,0.6691ZZZ,0.09957ZZZ,900,6.720ZZZ,< 0.001ZZZ
Salinity,region,South-Central,D - N,0.4048ZZZ,0.08733ZZZ,900,4.636ZZZ,< 0.001ZZZ
Salinity,region,South-Central,D - W,0.6239ZZZ,0.09159ZZZ,900,6.811ZZZ,< 0.001ZZZ
Salinity,region,South-Central,N - W,0.2190ZZZ,0.09957ZZZ,900,2.200ZZZ,0.07175ZZZ
Salinity,region,North,D - N,0.09576ZZZ,0.08733ZZZ,900,1.097ZZZ,0.5164ZZZ
Salinity,region,North,D - W,0.2076ZZZ,0.09159ZZZ,900,2.267ZZZ,0.06104ZZZ
Salinity,region,North,N - W,0.1119ZZZ,0.09957ZZZ,900,1.124ZZZ,0.4997ZZZ
Salinity,season,Winter,D - N,0.3919ZZZ,0.07811ZZZ,900,5.017ZZZ,< 0.001ZZZ
Salinity,season,Winter,D - W,0.9788ZZZ,0.08238ZZZ,900,11.88ZZZ,< 0.001ZZZ
Salinity,season,Winter,N - W,0.5869ZZZ,0.08948ZZZ,900,6.560ZZZ,< 0.001ZZZ
Salinity,season,Spring,D - N,0.9004ZZZ,0.07843ZZZ,900,11.48ZZZ,< 0.001ZZZ
Salinity,season,Spring,D - W,1.268ZZZ,0.08266ZZZ,900,15.34ZZZ,< 0.001ZZZ
Salinity,season,Spring,N - W,0.3680ZZZ,0.08948ZZZ,900,4.113ZZZ,< 0.001ZZZ
Salinity,season,Summer,D - N,0.5279ZZZ,0.07811ZZZ,900,6.759ZZZ,< 0.001ZZZ
Salinity,season,Summer,D - W,1.070ZZZ,0.08192ZZZ,900,13.07ZZZ,< 0.001ZZZ
Salinity,season,Summer,N - W,0.5425ZZZ,0.08906ZZZ,900,6.091ZZZ,< 0.001ZZZ
Salinity,season,Fall,D - N,0.3932ZZZ,0.07811ZZZ,900,5.034ZZZ,< 0.001ZZZ
Salinity,season,Fall,D - W,0.8436ZZZ,0.08192ZZZ,900,10.30ZZZ,< 0.001ZZZ
Salinity,season,Fall,N - W,0.4504ZZZ,0.08906ZZZ,900,5.057ZZZ,< 0.001ZZZ
Secchi depth,region,Suisun Marsh,D - N,0.1779ZZZ,0.03810ZZZ,870,4.669ZZZ,< 0.001ZZZ
Secchi depth,region,Suisun Marsh,D - W,0.3007ZZZ,0.04096ZZZ,870,7.341ZZZ,< 0.001ZZZ
Secchi depth,region,Suisun Marsh,N - W,0.1228ZZZ,0.04288ZZZ,870,2.864ZZZ,0.01191ZZZ
Secchi depth,region,Suisun Bay,D - N,0.1444ZZZ,0.03767ZZZ,870,3.834ZZZ,< 0.001ZZZ
Secchi depth,region,Suisun Bay,D - W,0.2571ZZZ,0.04020ZZZ,870,6.396ZZZ,< 0.001ZZZ
Secchi depth,region,Suisun Bay,N - W,0.1127ZZZ,0.04243ZZZ,870,2.656ZZZ,0.02190ZZZ
Secchi depth,region,Confluence,D - N,0.06421ZZZ,0.03767ZZZ,870,1.704ZZZ,0.2041ZZZ
Secchi depth,region,Confluence,D - W,0.1042ZZZ,0.04020ZZZ,870,2.592ZZZ,0.02621ZZZ
Secchi depth,region,Confluence,N - W,0.04000ZZZ,0.04243ZZZ,870,0.9428ZZZ,0.6133ZZZ
Secchi depth,region,South-Central,D - N,0.1476ZZZ,0.03767ZZZ,870,3.918ZZZ,< 0.001ZZZ
Secchi depth,region,South-Central,D - W,0.2250ZZZ,0.04020ZZZ,870,5.597ZZZ,< 0.001ZZZ
Secchi depth,region,South-Central,N - W,0.07741ZZZ,0.04243ZZZ,870,1.824ZZZ,0.1622ZZZ
Secchi depth,region,North,D - N,0.1507ZZZ,0.04013ZZZ,870,3.757ZZZ,< 0.001ZZZ
Secchi depth,region,North,D - W,0.3798ZZZ,0.04045ZZZ,870,9.389ZZZ,< 0.001ZZZ
Secchi depth,region,North,N - W,0.2290ZZZ,0.04363ZZZ,870,5.250ZZZ,< 0.001ZZZ
Secchi depth,season,Winter,D - N,0.2162ZZZ,0.03370ZZZ,870,6.415ZZZ,< 0.001ZZZ
Secchi depth,season,Winter,D - W,0.3911ZZZ,0.03607ZZZ,870,10.84ZZZ,< 0.001ZZZ
Secchi depth,season,Winter,N - W,0.1749ZZZ,0.03811ZZZ,870,4.590ZZZ,< 0.001ZZZ
Secchi depth,season,Spring,D - N,0.08475ZZZ,0.03486ZZZ,870,2.431ZZZ,0.04038ZZZ
Secchi depth,season,Spring,D - W,0.2138ZZZ,0.03647ZZZ,870,5.863ZZZ,< 0.001ZZZ
Secchi depth,season,Spring,N - W,0.1291ZZZ,0.03852ZZZ,870,3.350ZZZ,0.002423ZZZ
Secchi depth,season,Summer,D - N,0.1237ZZZ,0.03455ZZZ,870,3.580ZZZ,0.001055ZZZ
Secchi depth,season,Summer,D - W,0.2003ZZZ,0.03604ZZZ,870,5.556ZZZ,< 0.001ZZZ
Secchi depth,season,Summer,N - W,0.07657ZZZ,0.03836ZZZ,870,1.996ZZZ,0.1138ZZZ
Secchi depth,season,Fall,D - N,0.1233ZZZ,0.03369ZZZ,870,3.658ZZZ,< 0.001ZZZ
Secchi depth,season,Fall,D - W,0.2083ZZZ,0.03596ZZZ,870,5.793ZZZ,< 0.001ZZZ
Secchi depth,season,Fall,N - W,0.08502ZZZ,0.03795ZZZ,870,2.240ZZZ,0.06515ZZZ
